Events	year	Age
Born	1982	0
	1983	1
Sister	1984	2
	1985	3
Kindergarton	1986	4
	1987	5
Primary School	1988	6
	1989	7
	1990	8
	1991	9
	1992	10
	1993	11
	1994	12
High School	1995	13
	1996	14
	1997	15
	1998	16
	1999	17
Finished School	2000	18
University	2001	19
	2002	20
Parents Divorced	2003	21
	2004	22
	2005	23
	2006	24
Started Work	2007	25
	2008	26
	2009	27
Masters Degree	2010	28
First Exhibition	2011	29
	2012	30
USA	2013	31
USA	2014	32
